Area	Rooms	Rent
93 m²	3 Zi.	1.500 €
65.91 m²	3 Zi.	725,01 €
69.06 m²	3 Zi.	782,45 €
67 m²	2 Zi.	837,50 €
26 m²	1 Zi.	550 €
50 m²	2 Zi.	616 €
71 m²	2 Zi.	900 €
55 m²	3 Zi.	1.100 €
68.33 m²	3 Zi.	899 €
28.3 m²	1 Zi.	410 €
40.02 m²	1 Zi.	571 €
24.45 m²	1 Zi.	399 €
72.77 m²	3 Zi.	1.346,24 €
100.9 m²	3 Zi.	1.412,60 €
57 m²	2 Zi.	585 €
61 m²	2 Zi.	1.041,23 €
58.3 m²	2 Zi.	670 €
27.12 m²	1 Zi.	686,40 €
41.24 m²	1.5 Zi.	336 €
39 m²	1 Zi.	895 €
55 m²	1.5 Zi.	985 €
71 m²	3 Zi.	730 €
40 m²	2 Zi.	560 €
64 m²	2 Zi.	1.050 €
37.88 m²	2 Zi.	403,42 €
80 m²	3 Zi.	1.280 €
26 m²	1 Zi.	540 €
62.8 m²	3 Zi.	727 €
142 m²	3 Zi.	3.430 €
85.15 m²	3 Zi.	1.100 €
109 m²	3 Zi.	1.710 €
104 m²	4.5 Zi.	1.740 €
38.8 m²	1 Zi.	880 €
80.3 m²	2 Zi.	1.205 €
63.62 m²	2.5 Zi.	779 €
110.57 m²	3 Zi.	1.625,93 €
63.75 m²	2 Zi.	820 €
79.25 m²	1 Zi.	1.190 €
78 m²	3 Zi.	936 €
22.1 m²	1 Zi.	262 €
81.55 m²	3 Zi.	572,31 €
105 m²	3 Zi.	1.493 €
46 m²	2 Zi.	550 €
100 m²	3 Zi.	2.950 €
46 m²	2 Zi.	966 €
132.81 m²	4 Zi.	2.629,64 €
51.4 m²	2.5 Zi.	995 €
32 m²	1 Zi.	665 €
102 m²	2.5 Zi.	1.377 €
63 m²	2 Zi.	950 €
63 m²		740 €
67.3 m²	3 Zi.	788 €
77 m²	2 Zi.	690 €
68 m²	2 Zi.	920 €
35 m²	1 Zi.	1.600 €
100 m²	4 Zi.	1.030 €
72.5 m²	2 Zi.	740 €
150 m²	5.5 Zi.	1.865 €
53 m²	2 Zi.	950 €
75 m²	2.5 Zi.	1.200 €
63 m²	3 Zi.	800 €
56.52 m²	2 Zi.	550 €
57 m²	2.5 Zi.	1.100 €
45.6 m²	2 Zi.	481,99 €
62.35 m²	3 Zi.	721,39 €
50.89 m²	2 Zi.	739,94 €
58 m²	2 Zi.	1.150 €
78.8 m²	3 Zi.	925 €
37 m²	2 Zi.	980 €
71.2 m²	3 Zi.	895 €
91 m²	3 Zi.	2.200 €
134 m²	3 Zi.	3.250 €
80 m²	3 Zi.	1.550 €
50.43 m²	2 Zi.	655 €
55.87 m²	2 Zi.	643 €
92.7 m²	3 Zi.	1.025 €
48.26 m²	1 Zi.	695 €
56.62 m²	2 Zi.	760 €
101.2 m²	4 Zi.	1.475 €
42.73 m²	1 Zi.	635 €
70 m²	3 Zi.	1.150 €
69.92 m²	2 Zi.	799 €
78 m²	2.5 Zi.	646 €
54 m²	2 Zi.	1.190 €
36 m²	1 Zi.	410 €
44.2 m²	2 Zi.	1.075 €
45.78 m²	2 Zi.	1.035 €
53.13 m²	2 Zi.	1.295 €
39.02 m²	1.5 Zi.	1.045 €
52.28 m²	2 Zi.	471 €
69 m²	2 Zi.	1.035 €
30 m²	1 Zi.	950 €
56 m²	2 Zi.	756 €
75 m²	2 Zi.	1.099,34 €
76 m²	2 Zi.	2.041 €
83 m²	3 Zi.	1.150 €
90 m²	4 Zi.	1.592 €
74.6 m²	2.5 Zi.	1.150 €
68 m²	2.5 Zi.	850 €
68 m²	2.5 Zi.	820 €
74 m²	3 Zi.	888 €
78.4 m²	4 Zi.	807,52 €
21 m²	1 Zi.	265 €
40 m²	1.5 Zi.	490 €
65.5 m²	2 Zi.	990 €
73.8 m²	2 Zi.	1.115 €
34 m²	1 Zi.	389,64 €
63.7 m²	2 Zi.	935 €
36 m²	1 Zi.	430,73 €
74 m²	3 Zi.	925 €
70 m²	3 Zi.	745 €
88.95 m²	3 Zi.	835 €
114 m²	3.5 Zi.	1.600 €
26 m²	1.5 Zi.	700 €
65 m²	2 Zi.	1.170 €
110 m²	3.5 Zi.	1.950 €
57.53 m²	2 Zi.	420,54 €
25 m²	1 Zi.	315 €
72.83 m²	3.5 Zi.	1.500 €
		30 €
53.54 m²	2 Zi.	824 €
65 m²	2 Zi.	1.432 €
68.23 m²	2 Zi.	1.023,45 €
79 m²	2 Zi.	1.056 €
76.2 m²	3 Zi.	830 €
51.3 m²	2 Zi.	1.400 €
75 m²	2 Zi.	950 €
149.76 m²	3 Zi.	2.160 €
63 m²	3 Zi.	880 €
87.7 m²	3 Zi.	1.200 €
49 m²	2 Zi.	780 €
40 m²	1 Zi.	719,90 €
151 m²	5 Zi.	2.552,56 €
29.55 m²	1 Zi.	500 €
140 m²	3.5 Zi.	3.000 €
85 m²	2 Zi.	1.195 €
76.21 m²	3 Zi.	950 €
72 m²	2 Zi.	1.672 €
38.8 m²	2 Zi.	415 €
43.05 m²	2 Zi.	360 €
62.45 m²	2 Zi.	736,91 €
70.11 m²	2.5 Zi.	1.590 €
80.69 m²	2 Zi.	1.363,66 €
38.68 m²	1 Zi.	509 €
55 m²	2 Zi.	495 €
43 m²	2 Zi.	850 €
88.05 m²	3 Zi.	2.300 €
63.32 m²	2 Zi.	797,83 €
124 m²	5 Zi.	1.500 €
84.27 m²	3 Zi.	1.383 €
52.76 m²	2 Zi.	916 €
19.25 m²	1 Zi.	513,19 €
19.25 m²	1 Zi.	513,19 €
45 m²	2 Zi.	527,40 €
70.3 m²	2 Zi.	750 €
88.8 m²	3 Zi.	1.025 €
74 m²	3 Zi.	1.400 €
68.51 m²	2 Zi.	907 €
48 m²	2 Zi.	970 €
120 m²	4 Zi.	1.761 €
55 m²	2 Zi.	900 €
49.4 m²	1 Zi.	719 €
48 m²	2 Zi.	720 €
55.9 m²	2 Zi.	725 €
113.19 m²	4 Zi.	1.635 €
117.83 m²	4 Zi.	1.900 €
36.45 m²	1 Zi.	475 €
53.85 m²	2 Zi.	1.077 €
32.66 m²	1 Zi.	391,55 €
84.29 m²	3 Zi.	1.222 €
43.38 m²	1.5 Zi.	665 €
86.63 m²	3 Zi.	1.549 €
70 m²	2 Zi.	900 €
92 m²	4.5 Zi.	1.655 €
45 m²	2 Zi.	630 €
47.89 m²	2 Zi.	557,44 €
44 m²	1.5 Zi.	749 €
79 m²	3 Zi.	671,50 €
69 m²	3 Zi.	1.592 €
73 m²	3 Zi.	995,27 €
36.5 m²	1 Zi.	1.131,50 €
25.5 m²	1 Zi.	790,50 €
56.5 m²	1 Zi.	1.582 €
89 m²	1 Zi.	2.314 €
53 m²	1 Zi.	1.484 €
37.5 m²	1 Zi.	1.162,50 €
32 m²	1 Zi.	992 €
28 m²	1 Zi.	868 €
70 m²	2 Zi.	1.061 €
125 m²	3 Zi.	2.875 €
55 m²	2 Zi.	1.190 €
55 m²	2.5 Zi.	599 €
77.15 m²	2.5 Zi.	1.160 €
30.05 m²	1 Zi.	625,22 €
160 m²	3 Zi.	1.990 €
92 m²	3 Zi.	1.180 €
42.7 m²	2 Zi.	451,34 €
58 m²	2 Zi.	650 €
99 m²	3 Zi.	1.400 €
28 m²	1 Zi.	796 €
70.45 m²	2 Zi.	1.585 €
78.5 m²	3.5 Zi.	950 €
112.39 m²	3 Zi.	1.620 €
83 m²	3 Zi.	1.570 €
115 m²	4 Zi.	1.790 €
45.41 m²	1 Zi.	535 €
91 m²	3 Zi.	1.418 €
75.5 m²	2 Zi.	906 €
108.46 m²	3 Zi.	1.247,29 €
50 m²	1.5 Zi.	516,56 €
73 m²	2 Zi.	1.241 €
91.09 m²	3 Zi.	1.630 €
77.12 m²	2 Zi.	1.390 €
77.67 m²	2 Zi.	1.390 €
78.3 m²	2 Zi.	1.330 €
67.41 m²	3 Zi.	640 €
60 m²	2 Zi.	750 €
77.3 m²	3 Zi.	1.390 €
56 m²	2 Zi.	557 €
27 m²	1 Zi.	550 €
62 m²	2 Zi.	750 €
34 m²	1 Zi.	790 €
47 m²	1.5 Zi.	471 €
100 m²	4 Zi.	1.600 €
125 m²	3 Zi.	2.200 €
66.05000305175781 m²	2.5 Zi.	1.160 €
44 m²	2 Zi.	875 €
71.79 m²	3 Zi.	999 €
107.9 m²	3 Zi.	1.680 €
55 m²	2.5 Zi.	1.650 €
57 m²	2 Zi.	770 €
60 m²	2.5 Zi.	750 €
119.5 m²	4 Zi.	1.852,62 €
70.26 m²	2.5 Zi.	657,63 €
75 m²	3 Zi.	1.090 €
121 m²	3 Zi.	2.400 €
184.48 m²	4 Zi.	4.275 €
59.04 m²	2 Zi.	678,96 €
142 m²	4 Zi.	1.990 €
119 m²	3 Zi.	2.678 €
52 m²	2 Zi.	1.303,34 €
30 m²	1 Zi.	580 €
90 m²	2 Zi.	899 €
55 m²	1.5 Zi.	985 €
74 m²	2 Zi.	1.596 €
76.97 m²	2 Zi.	809 €
52.16 m²	2.5 Zi.	427,19 €
32 m²	1 Zi.	420 €
